id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_039	24	24	69.162991014	2.881791292	0	0	24	24	2.779659808	-2.777937596	480	480	1.000000000	24	11	0.458333333	480	118	0.245833333	480	4.870923135	2.981379110	4505	2795	0.620421754
case_040	23	24	31.615599783	1.317316658	1	8	24	24	1.184325376	-1.184172584	480	479	0.997916667	24	15	0.625000000	479	163	0.340292276	479	4.767514363	4.036860334	4477	2951	0.659146750
case_041	17	24	44.284621677	1.845192570	0	0	24	24	1.723188727	-1.721275432	480	480	1.000000000	24	14	0.583333333	480	180	0.375000000	480	5.899388428	5.091298148	4480	2917	0.651116071
case_042	16	24	79.469894561	3.311245607	0	0	24	24	3.197172574	-3.197172574	480	480	1.000000000	24	6	0.250000000	480	146	0.304166667	480	5.260469075	3.967142295	4498	2914	0.647843486
case_043	20	24	17.774432972	0.740601374	1	10	24	24	0.655903802	-0.637306716	480	480	1.000000000	24	19	0.791666667	480	203	0.422916667	480	6.059471625	5.524771423	4469	3008	0.673081226
case_044	21	24	18.095878669	0.753994945	1	2	24	24	0.662769465	-0.625661322	480	480	1.000000000	24	19	0.791666667	480	212	0.441666667	480	4.712729660	3.781300467	4499	3146	0.699266504
case_045	21	24	52.458845011	2.185785209	0	0	24	24	2.028228399	-2.028228399	480	479	0.997916667	24	15	0.625000000	479	185	0.386221294	479	5.524027210	3.951452545	4473	2907	0.649899396
case_046	21	24	13.205638532	0.550234939	1	14	24	24	0.505896565	-0.505896565	480	479	0.997916667	24	21	0.875000000	479	202	0.421711900	479	7.281938327	7.135153334	4480	3170	0.707589286
case_047	18	24	46.044579751	1.918524156	0	0	24	24	1.740079152	-1.739564192	480	477	0.993750000	24	9	0.375000000	477	178	0.373165618	477	5.935863194	5.084553482	4419	3017	0.682733650
case_048	20	24	33.470899292	1.394620804	1	3	24	24	1.357534169	-1.333955498	480	478	0.995833333	24	15	0.625000000	478	188	0.393305439	478	5.460448443	4.663401058	4474	2946	0.658471167
case_049	21	24	29.908427588	1.246184483	1	6	24	24	1.228486702	-1.218396782	480	480	1.000000000	24	15	0.625000000	480	186	0.387500000	480	5.865265063	5.467102486	4498	2968	0.659848822
case_050	30	24	98.231891100	4.092995463	0	0	24	24	3.986163959	-3.986163959	480	479	0.997916667	24	7	0.291666667	479	88	0.183716075	479	5.322239238	4.034215279	4480	2720	0.607142857
case_051	23	24	67.409142381	2.808714266	0	0	24	24	2.743893851	-2.743893851	480	480	1.000000000	24	13	0.541666667	480	121	0.252083333	480	6.216682322	4.910078298	4496	2875	0.639457295
case_052	21	24	81.025014208	3.376042259	0	0	24	24	3.283788513	-3.222285535	480	477	0.993750000	24	8	0.333333333	477	113	0.236897275	477	5.704043658	4.612657560	4447	2923	0.657297054
case_053	24	24	54.995105877	2.291462745	0	0	24	24	2.215843103	-2.124205717	480	478	0.995833333	24	12	0.500000000	478	145	0.303347280	478	5.135316714	3.724962570	4464	2949	0.660618280
case_054	24	24	42.746118105	1.781088254	0	0	24	24	1.734434139	-1.734434139	480	478	0.995833333	24	14	0.583333333	478	137	0.286610879	478	5.886114737	5.245536542	4447	2886	0.648976838
case_055	28	24	103.319309010	4.304971209	0	0	24	24	4.267888304	-4.267888304	480	478	0.995833333	24	5	0.208333333	478	109	0.228033473	478	6.127626851	4.836477640	4465	2785	0.623740202
case_056	20	24	34.012127124	1.417171963	0	0	24	24	1.345521806	-1.345521806	480	479	0.997916667	24	15	0.625000000	479	159	0.331941545	479	6.644133141	5.967975660	4461	2927	0.656130912
