id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_081	15	24	19.381975861	0.807582328	1	7	24	24	0.599318460	-0.583489832	480	480	1.000000000	24	16	0.666666667	480	344	0.716666667	480	2.016447758	0.936180545	4495	3481	0.774416018
case_082	18	24	14.998261168	0.624927549	0	0	24	24	0.548041951	-0.513959142	480	479	0.997916667	24	19	0.791666667	479	324	0.676409186	479	1.851752465	0.839093521	4491	3462	0.770875084
case_083	21	24	7.926160591	0.330256691	1	13	24	24	0.234332984	-0.232757052	480	480	1.000000000	24	20	0.833333333	480	342	0.712500000	480	2.229904001	1.733781663	4470	3636	0.813422819
case_084	25	11	5.972160239	0.542923658	0	0	11	11	0.476977654	-0.463244602	220	220	1.000000000	11	10	0.909090909	220	144	0.654545455	220	3.363361693	3.070882518	2051	1676	0.817162360
case_085	20	24	5.819555236	0.242481468	0	0	24	24	0.196828493	-0.110943473	480	480	1.000000000	24	21	0.875000000	480	355	0.739583333	480	1.753709217	0.604287521	4498	3594	0.799021787
case_086	18	24	18.535449980	0.772310416	1	6	24	24	0.650976073	-0.648094610	480	480	1.000000000	24	19	0.791666667	480	317	0.660416667	480	2.243253130	1.074215107	4500	3551	0.789111111
case_087	14	24	8.886054129	0.370252255	1	14	24	24	0.370240196	-0.364904874	480	480	1.000000000	24	22	0.916666667	480	351	0.731250000	480	2.622165577	2.242163138	4493	3523	0.784108613
case_088	15	24	12.135024154	0.505626006	0	0	23	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_089	15	24	11.260954527	0.469206439	0	0	24	24	0.455911976	-0.411171198	480	479	0.997916667	24	20	0.833333333	479	349	0.728601253	479	2.703679299	2.312293263	4470	3437	0.768903803
case_090	19	24	10.343872608	0.430994692	1	7	24	24	0.412093937	-0.386316162	480	480	1.000000000	24	22	0.916666667	480	350	0.729166667	480	2.358957661	1.265667897	4488	3554	0.791889483
case_091	16	24	31.433344438	1.309722685	1	1	24	24	1.263319055	-1.234282616	480	479	0.997916667	24	17	0.708333333	479	275	0.574112735	479	2.827922443	1.748600391	4485	3388	0.755406912
case_092	17	24	4.961920783	0.206746699	1	6	24	24	0.196021129	-0.164690162	480	480	1.000000000	24	22	0.916666667	480	360	0.750000000	480	2.471462676	2.199320134	4483	3597	0.802364488
case_093	20	24	5.812790147	0.242199589	0	0	24	24	0.232445829	-0.133086500	480	477	0.993750000	24	22	0.916666667	477	337	0.706498952	477	2.158881861	1.127058310	4438	3479	0.783911672
case_094	18	2	0.148258432	0.074129216	1	2	2	2	0.005997878	0.005997554	40	39	0.975000000	2	2	1.000000000	39	32	0.820512821	39	1.243431034	0.275172275	357	271	0.759103641
case_095	19	11	0.444872720	0.040442975	1	11	11	11	0.038763270	-0.011954414	220	215	0.977272727	11	11	1.000000000	215	153	0.711627907	215	1.694502129	0.357289375	1953	1522	0.779313876
case_096	17	6	0.370423121	0.061737187	1	6	6	6	0.026527587	-0.026527587	120	116	0.966666667	6	6	1.000000000	116	78	0.672413793	116	3.159875634	2.922457426	1056	840	0.795454545
case_097	23	9	0.062393666	0.006932630	1	9	9	9	0.005457102	-0.005457102	180	179	0.994444444	9	9	1.000000000	179	134	0.748603352	179	2.793339315	2.759965929	1667	1306	0.783443311
case_098	22	9	0.120141517	0.013349057	1	9	9	9	0.012924962	-0.012618660	180	179	0.994444444	9	9	1.000000000	179	134	0.748603352	179	2.320584392	1.768392734	1667	1265	0.758848230
case_099	24	15	2.803720076	0.186914672	1	10	15	15	0.183623919	-0.181213515	300	297	0.990000000	15	14	0.933333333	297	214	0.720538721	297	2.191059247	1.674257229	2755	2221	0.806170599
