id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_014	24	24	19.874596853	0.828108202	0	0	24	24	0.722877817	-0.722802646	480	479	0.997916667	24	19	0.791666667	479	296	0.617954071	479	2.749185725	1.500346721	4481	3273	0.730417318
case_015	23	24	18.074411107	0.753100463	1	2	24	24	0.740483838	-0.703880611	480	480	1.000000000	24	22	0.916666667	480	309	0.643750000	480	2.553811221	1.259024462	4486	3431	0.764823897
case_016	21	24	8.273920063	0.344746669	1	10	24	24	0.272780786	-0.245387225	480	480	1.000000000	24	21	0.875000000	480	332	0.691666667	480	2.671831768	2.109383651	4497	3363	0.747831888
case_017	29	24	14.846556671	0.618606528	0	0	24	24	0.573501660	-0.570122882	480	477	0.993750000	24	20	0.833333333	477	304	0.637316562	477	2.522754874	1.720580775	4437	3337	0.752084742
case_018	27	24	13.413444543	0.558893523	1	3	24	24	0.514789425	-0.488488526	480	479	0.997916667	24	20	0.833333333	479	312	0.651356994	479	2.482985952	0.353305666	4474	3361	0.751229325
case_019	20	26	18.475464681	0.710594795	1	3	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_020	20	24	12.842707282	0.535112803	0	0	24	24	0.411114477	-0.409287611	480	479	0.997916667	24	20	0.833333333	479	353	0.736951983	479	2.330301419	2.072008787	4468	3547	0.793867502
case_021	20	24	9.925242552	0.413551773	1	5	24	24	0.365129288	-0.333184406	480	480	1.000000000	24	19	0.791666667	480	325	0.677083333	480	2.592963867	1.922442153	4486	3520	0.784663397
case_022	18	24	16.321904867	0.680079369	1	1	24	24	0.631203100	-0.570069968	480	479	0.997916667	24	18	0.750000000	479	316	0.659707724	479	3.413611894	2.456491299	4489	3451	0.768768100
case_023	16	24	16.397183676	0.683215986	1	10	24	24	0.663259943	-0.663259388	480	475	0.989583333	24	21	0.875000000	475	285	0.600000000	475	3.878433245	3.455583061	4401	3321	0.754601227
case_024	17	24	19.992894683	0.833037278	1	9	24	24	0.777127886	-0.655117616	480	479	0.997916667	24	19	0.791666667	479	325	0.678496868	479	2.295898455	-0.142232245	4459	3348	0.750840996
case_025	22	24	15.742877312	0.655953221	1	18	24	24	0.664059374	-0.612540136	480	478	0.995833333	24	22	0.916666667	478	313	0.654811715	478	3.431409647	2.133993206	4451	3438	0.772410694
case_026	18	24	10.102641383	0.420943391	1	15	24	24	0.316749212	-0.306318177	480	478	0.995833333	24	21	0.875000000	478	358	0.748953975	478	2.090371614	1.615861189	4470	3540	0.791946309
case_027	17	24	14.156023546	0.589834314	1	8	24	24	0.593954311	-0.509881755	480	477	0.993750000	24	20	0.833333333	477	305	0.639412998	477	3.162463548	1.768554272	4434	3432	0.774018945
case_028	19	24	13.275182126	0.553132589	1	4	24	24	0.534358511	-0.428627817	480	479	0.997916667	24	21	0.875000000	479	320	0.668058455	479	1.832819009	0.837770919	4475	3530	0.788826816
case_029	20	24	21.107643855	0.879485161	1	6	24	24	0.659784633	-0.627969535	480	480	1.000000000	24	17	0.708333333	480	299	0.622916667	480	2.130603795	-0.482017322	4495	3349	0.745050056
case_030	24	24	11.738195206	0.489091467	1	20	24	24	0.470538357	-0.470532215	480	480	1.000000000	24	22	0.916666667	480	314	0.654166667	480	2.681853611	1.739794182	4497	3486	0.775183456
case_031	24	24	3.771900491	0.157162520	1	3	24	24	0.167483674	-0.089147930	480	479	0.997916667	24	22	0.916666667	479	294	0.613778706	479	2.342846455	1.486745294	4479	3491	0.779415048
case_032	19	24	5.295732496	0.220655521	1	10	24	24	0.225706606	-0.199450427	480	479	0.997916667	24	23	0.958333333	479	336	0.701461378	479	2.318089604	1.635765284	4491	3551	0.790692496
case_033	17	24	2.862894876	0.119287286	1	1	24	24	0.065118755	-0.022421870	480	477	0.993750000	24	23	0.958333333	477	327	0.685534591	477	2.578593726	2.117039362	4442	3511	0.790409725
